iteration, pr, nu, force, node 1, node 2, node 3, node 4, node 5
inputs = 3
outputs = 5
1,0.20796,22.332,-0.0017597,-0.010264,-0.037515,-0.078947,-0.13188
2,0.20798,51.727,-0.0028391,-0.016561,-0.060528,-0.12737,-0.21277
3,0.50622,104.48,-0.0014965,-0.0087295,-0.031906,-0.067142,-0.11216
4,0.32016,43.772,-0.0059086,-0.034466,-0.12597,-0.26509,-0.44281
5,0.26616,21.12,-0.010001,-0.058334,-0.21321,-0.44867,-0.74948
6,0.27538,34.169,-0.0088025,-0.051346,-0.18767,-0.39492,-0.65969
7,0.1434,23.197,-0.0050391,-0.029394,-0.10743,-0.22608,-0.37765
8,0.53026,67.521,-0.010421,-0.060784,-0.22216,-0.46751,-0.78095
9,0.20565,45.316,-0.0015978,-0.0093201,-0.034064,-0.071684,-0.11974
10,0.10693,14.302,-0.0092119,-0.053734,-0.19639,-0.41329,-0.69038
1,0.3921,83.172,-0.0026899,-0.015691,-0.057348,-0.12068,-0.20159
2,0.30292,64.701,-0.0074775,-0.043617,-0.15942,-0.33547,-0.56039
3,0.43511,28.896,-0.0039632,-0.023118,-0.084494,-0.17781,-0.29702
4,0.18258,46.848,-0.0078678,-0.045894,-0.16774,-0.35298,-0.58964
5,0.4511,18.113,-0.0072562,-0.042326,-0.1547,-0.32555,-0.5438
6,0.44907,58.679,-0.010294,-0.060045,-0.21946,-0.46183,-0.77146
7,0.30105,40.635,-0.0053586,-0.031257,-0.11424,-0.24041,-0.40159
8,0.32985,91.763,-0.0060851,-0.035495,-0.12973,-0.273,-0.45604
9,0.38994,47.861,-0.0089483,-0.052197,-0.19077,-0.40146,-0.67062
10,0.33977,45.073,-0.0091158,-0.053174,-0.19435,-0.40898,-0.68317
11,0.49417,65.016,-0.01039,-0.060606,-0.22151,-0.46614,-0.77866
12,0.36417,30.774,-0.0072248,-0.042143,-0.15403,-0.32414,-0.54145
13,0.31192,33.049,-0.0040125,-0.023405,-0.085544,-0.18002,-0.30071
14,0.18764,32.592,-0.0094431,-0.055083,-0.20132,-0.42366,-0.7077
15,0.20245,53.57,-0.0027071,-0.015791,-0.057714,-0.12145,-0.20288
16,0.51552,53.021,-0.004111,-0.02398,-0.087645,-0.18444,-0.30809
17,0.5072,107.97,-0.0028482,-0.016614,-0.060722,-0.12778,-0.21345
18,0.15,35.806,-0.0053887,-0.031433,-0.11488,-0.24176,-0.40385
19,0.3677,36.221,-0.0050872,-0.029674,-0.10846,-0.22823,-0.38125
20,0.42005,32.175,-0.0070284,-0.040998,-0.14984,-0.31533,-0.52674
21,0.2335,41.878,-0.0021742,-0.012682,-0.046353,-0.097543,-0.16294
22,0.32854,18.552,-0.0052417,-0.030575,-0.11175,-0.23517,-0.39283
23,0.46046,12.922,-0.0036248,-0.021144,-0.07728,-0.16263,-0.27166
24,0.42865,58.861,-0.010289,-0.060014,-0.21935,-0.46159,-0.77106
25,0.20678,55.885,-0.0067853,-0.039579,-0.14466,-0.30442,-0.50851
26,0.34606,62.114,-0.010631,-0.062011,-0.22665,-0.47695,-0.79672
27,0.32,72.406,-0.0033159,-0.019342,-0.070695,-0.14877,-0.24851
28,0.27798,46.744,-0.0077914,-0.045448,-0.16611,-0.34956,-0.58391
29,0.11698,98.517,-0.01088,-0.063463,-0.23195,-0.48812,-0.81537
30,0.45828,19.871,-0.010133,-0.059106,-0.21603,-0.45461,-0.75939
31,0.25091,77.973,-0.0036187,-0.021108,-0.077149,-0.16235,-0.2712
32,0.42455,20.676,-0.0023655,-0.013798,-0.050432,-0.10613,-0.17728
33,0.32238,87.905,-0.0075376,-0.043968,-0.1607,-0.33817,-0.56489
34,0.50667,99.092,-0.0081504,-0.047542,-0.17376,-0.36566,-0.61082
35,0.41444,29.781,-0.0043416,-0.025325,-0.092562,-0.19479,-0.32538
36,0.43483,60.002,-0.0013054,-0.0076146,-0.027831,-0.058567,-0.097832
37,0.50713,70.987,-0.0057992,-0.033828,-0.12364,-0.26018,-0.43461
